Test case num,Expected Output,Student Output,Test case result
18,|               Faded|    never|             1|        0.6359887667199967| 0.6359887667199967|,|               Faded|     feel|             1|        0.6359887667199967| 0.6359887667199967|,Fail
19,|               Faded|     feel|             1|        0.6359887667199967| 0.6359887667199967|,|               Faded|    never|             1|        0.6359887667199967| 0.6359887667199967|,Fail
20,|               Faded|      out|             1|        0.7537718023763802| 0.7537718023763802|,|               Faded|      out|             1|        0.7537718023763802| 0.7537718023763802|,Pass
21,|               Faded|     what|             1|        0.7537718023763802| 0.7537718023763802|,|               Faded|     what|             1|        0.7537718023763802| 0.7537718023763802|,Pass
22,|               Faded|      was|             1|        0.8873031950009027| 0.8873031950009027|,|               Faded|      was|             1|        0.8873031950009027| 0.8873031950009027|,Pass
23,|               Faded|     only|             1|        1.0414538748281612| 1.0414538748281612|,|               Faded|     only|             1|        1.0414538748281612| 1.0414538748281612|,Pass
24,|               Faded|      see|             1|        1.0414538748281612| 1.0414538748281612|,|               Faded|      see|             1|        1.0414538748281612| 1.0414538748281612|,Pass
25,|               Faded|       my|             3|        0.3483066942682158| 1.0449200828046474|,|               Faded|       my|             3|        0.3483066942682158| 1.0449200828046474|,Pass
26,|               Faded|      the|             9|         0.125163142954006|  1.126468286586054|,|               Faded|      the|             9|         0.125163142954006|  1.126468286586054|,Pass
27,|               Faded|      did|             1|        1.2237754316221157| 1.2237754316221157|,|               Faded|    heart|             1|        1.2237754316221157| 1.2237754316221157|,Fail
28,|               Faded|    alive|             1|        1.2237754316221157| 1.2237754316221157|,|               Faded|      did|             1|        1.2237754316221157| 1.2237754316221157|,Fail
29,|               Faded|     away|             1|        1.2237754316221157| 1.2237754316221157|,|               Faded|    alive|             1|        1.2237754316221157| 1.2237754316221157|,Fail
30,|               Faded|    heart|             1|        1.2237754316221157| 1.2237754316221157|,|               Faded|     away|             1|        1.2237754316221157| 1.2237754316221157|,Fail
31,|               Faded|       so|             4|        0.3483066942682158| 1.3932267770728632|,|               Faded|       so|             4|        0.3483066942682158| 1.3932267770728632|,Pass
32,|               Faded|    these|             1|        1.4469189829363254| 1.4469189829363254|,|               Faded|    these|             1|        1.4469189829363254| 1.4469189829363254|,Pass
33,|               Faded|      our|             1|        1.4469189829363254| 1.4469189829363254|,|               Faded|      our|             1|        1.4469189829363254| 1.4469189829363254|,Pass
34,|               Faded|      met|             1|        1.7346010553881064| 1.7346010553881064|,|               Faded|      met|             1|        1.7346010553881064| 1.7346010553881064|,Pass
35,|               Faded|     were|             2|        0.8873031950009027| 1.7746063900018054|,|               Faded|     were|             2|        0.8873031950009027| 1.7746063900018054|,Pass
36,|               Faded|   inside|             2|        1.0414538748281612| 2.0829077496563224|,|               Faded|   inside|             2|        1.0414538748281612| 2.0829077496563224|,Pass
37,|               Faded|     fire|             1|        2.1400661634962708| 2.1400661634962708|,|               Faded|   afraid|             1|        2.1400661634962708| 2.1400661634962708|,Fail
38,|               Faded|    light|             1|        2.1400661634962708| 2.1400661634962708|,|               Faded|    light|             1|        2.1400661634962708| 2.1400661634962708|,Pass
39,|               Faded|   afraid|             1|        2.1400661634962708| 2.1400661634962708|,|               Faded|     star|             1|        2.1400661634962708| 2.1400661634962708|,Fail
40,|               Faded|     star|             1|        2.1400661634962708| 2.1400661634962708|,|               Faded|     fire|             1|        2.1400661634962708| 2.1400661634962708|,Fail
41,|               Faded|   alight|             1|         2.833213344056216|  2.833213344056216|,|               Faded|    sight|             1|         2.833213344056216|  2.833213344056216|,Fail
42,|               Faded|  eternal|             1|         2.833213344056216|  2.833213344056216|,|               Faded|  letting|             1|         2.833213344056216|  2.833213344056216|,Fail
43,|               Faded|   bright|             1|         2.833213344056216|  2.833213344056216|,|               Faded|    wanna|             1|         2.833213344056216|  2.833213344056216|,Fail
44,|               Faded|     dive|             1|         2.833213344056216|  2.833213344056216|,|               Faded|     alan|             1|         2.833213344056216|  2.833213344056216|,Fail
45,|               Faded|imaginary|             1|         2.833213344056216|  2.833213344056216|,|               Faded|   walker|             1|         2.833213344056216|  2.833213344056216|,Fail
46,|               Faded|    sight|             1|         2.833213344056216|  2.833213344056216|,|               Faded|   lights|             1|         2.833213344056216|  2.833213344056216|,Fail
47,|               Faded|   shadow|             1|         2.833213344056216|  2.833213344056216|,|               Faded|   needed|             1|         2.833213344056216|  2.833213344056216|,Fail
48,|               Faded|    wanna|             1|         2.833213344056216|  2.833213344056216|,|               Faded|     dive|             1|         2.833213344056216|  2.833213344056216|,Fail
49,|               Faded|  fantasy|             1|         2.833213344056216|  2.833213344056216|,|               Faded|  silence|             1|         2.833213344056216|  2.833213344056216|,Fail
50,|               Faded|     alan|             1|         2.833213344056216|  2.833213344056216|,|               Faded|   deeper|             1|         2.833213344056216|  2.833213344056216|,Fail
51,|               Faded|      set|             1|         2.833213344056216|  2.833213344056216|,|               Faded|  fantasy|             1|         2.833213344056216|  2.833213344056216|,Fail
52,|               Faded|    youve|             1|         2.833213344056216|  2.833213344056216|,|               Faded|   alight|             1|         2.833213344056216|  2.833213344056216|,Fail
53,|               Faded|   waters|             1|         2.833213344056216|  2.833213344056216|,|               Faded|      set|             1|         2.833213344056216|  2.833213344056216|,Fail
54,|               Faded|      aim|             1|         2.833213344056216|  2.833213344056216|,|               Faded|     fade|             1|         2.833213344056216|  2.833213344056216|,Fail
55,|               Faded|   needed|             1|         2.833213344056216|  2.833213344056216|,|               Faded|   waters|             1|         2.833213344056216|  2.833213344056216|,Fail
56,|               Faded|   deeper|             1|         2.833213344056216|  2.833213344056216|,|               Faded|   bright|             1|         2.833213344056216|  2.833213344056216|,Fail
57,|               Faded|breathing|             1|         2.833213344056216|  2.833213344056216|,|               Faded|  eternal|             1|         2.833213344056216|  2.833213344056216|,Fail
58,|               Faded|   lights|             1|         2.833213344056216|  2.833213344056216|,|               Faded|imaginary|             1|         2.833213344056216|  2.833213344056216|,Fail
59,|               Faded|     fade|             1|         2.833213344056216|  2.833213344056216|,|               Faded|      aim|             1|         2.833213344056216|  2.833213344056216|,Fail
60,|               Faded|  shallow|             1|         2.833213344056216|  2.833213344056216|,|               Faded|   shadow|             1|         2.833213344056216|  2.833213344056216|,Fail
61,|               Faded|  letting|             1|         2.833213344056216|  2.833213344056216|,|               Faded|  shallow|             1|         2.833213344056216|  2.833213344056216|,Fail
62,|               Faded|  silence|             1|         2.833213344056216|  2.833213344056216|,|               Faded|    youve|             1|         2.833213344056216|  2.833213344056216|,Fail
63,|               Faded|   walker|             1|         2.833213344056216|  2.833213344056216|,|               Faded|breathing|             1|         2.833213344056216|  2.833213344056216|,Fail
64,|               Faded|       us|             2|        1.4469189829363254| 2.8938379658726507|,|               Faded|       us|             2|        1.4469189829363254| 2.8938379658726507|,Pass
65,|               Faded|      you|            16|        0.1941560144409574| 3.1064962310553184|,|               Faded|      you|            16|        0.1941560144409574| 3.1064962310553184|,Pass
66,|               Faded|    dream|             2|        1.7346010553881064| 3.4692021107762128|,|               Faded|    dream|             2|        1.7346010553881064| 3.4692021107762128|,Pass
67,|               Faded|  another|             3|        1.2237754316221157|  3.671326294866347|,|               Faded|  another|             3|        1.2237754316221157|  3.671326294866347|,Pass
68,|               Faded|  running|             2|        2.1400661634962708| 4.2801323269925415|,|               Faded|  running|             2|        2.1400661634962708| 4.2801323269925415|,Pass
69,|               Faded|    under|             5|        1.0414538748281612|  5.207269374140806|,|               Faded|    under|             5|        1.0414538748281612|  5.207269374140806|,Pass
70,|               Faded| atlantis|             2|         2.833213344056216|  5.666426688112432|,|               Faded| monsters|             2|         2.833213344056216|  5.666426688112432|,Fail
71,|               Faded|     wild|             2|         2.833213344056216|  5.666426688112432|,|               Faded|     wild|             2|         2.833213344056216|  5.666426688112432|,Pass
72,|               Faded| monsters|             2|         2.833213344056216|  5.666426688112432|,|               Faded| atlantis|             2|         2.833213344056216|  5.666426688112432|,Fail
73,|               Faded|     lost|             4|        1.4469189829363254| 5.7876759317453015|,|               Faded|     lost|             4|        1.4469189829363254| 5.7876759317453015|,Pass
74,|               Faded|      are|            12|        0.6359887667199967|  7.631865200639961|,|               Faded|      are|            12|        0.6359887667199967|  7.631865200639961|,Pass
75,|               Faded|      now|            12|        1.0414538748281612| 12.497446497937934|,|               Faded|      now|            12|        1.0414538748281612| 12.497446497937934|,Pass
76,|               Faded|      sea|             5|         2.833213344056216|  14.16606672028108|,|               Faded|      sea|             5|         2.833213344056216|  14.16606672028108|,Pass
77,|               Faded|    where|            12|        1.2237754316221157| 14.685305179465388|,|               Faded|       im|            12|        1.2237754316221157| 14.685305179465388|,Fail
78,|               Faded|       im|            12|        1.2237754316221157| 14.685305179465388|,|               Faded|    where|            12|        1.2237754316221157| 14.685305179465388|,Fail
79,|               Faded|    faded|            13|         2.833213344056216|  36.83177347273081|,|               Faded|    faded|            13|         2.833213344056216|  36.83177347273081|,Pass
80,|Girl from the North Country|     name|             1|         0.125163142954006|  0.125163142954006|,|Girl from the Nor...|    album|             1|         0.125163142954006|  0.125163142954006|,Fail
81,|Girl from the North Country|    album|             1|         0.125163142954006|  0.125163142954006|,|Girl from the Nor...|   artist|             1|         0.125163142954006|  0.125163142954006|,Fail
82,|Girl from the North Country|        i|             1|         0.125163142954006|  0.125163142954006|,|Girl from the Nor...|     name|             1|         0.125163142954006|  0.125163142954006|,Fail
83,|Girl from the North Country|   artist|             1|         0.125163142954006|  0.125163142954006|,|Girl from the Nor...|        i|             1|         0.125163142954006|  0.125163142954006|,Fail
84,|Girl from the North Country|      you|             1|        0.1941560144409574| 0.1941560144409574|,|Girl from the Nor...|      you|             1|        0.1941560144409574| 0.1941560144409574|,Fail
85,|Girl from the North Country|       is|             1|       0.26826398659467937|0.26826398659467937|,|Girl from the Nor...|       is|             1|       0.26826398659467937|0.26826398659467937|,Fail
86,|Girl from the North Country|       it|             1|        0.3483066942682158| 0.3483066942682158|,|Girl from the Nor...|       it|             1|        0.3483066942682158| 0.3483066942682158|,Fail
87,|Girl from the North Country|       to|             3|         0.125163142954006|0.37548942886201797|,|Girl from the Nor...|       to|             3|         0.125163142954006|0.37548942886201797|,Fail
88,|Girl from the North Country|       of|             4|         0.125163142954006|  0.500652571816024|,|Girl from the Nor...|       of|             4|         0.125163142954006|  0.500652571816024|,Fail
89,|Girl from the North Country|       go|             1|        0.5306282510621704| 0.5306282510621704|,|Girl from the Nor...|       go|             1|        0.5306282510621704| 0.5306282510621704|,Fail
90,|Girl from the North Country|       my|             2|        0.3483066942682158| 0.6966133885364316|,|Girl from the Nor...|       my|             2|        0.3483066942682158| 0.6966133885364316|,Fail
91,|Girl from the North Country|       on|             2|        0.3483066942682158| 0.6966133885364316|,|Girl from the Nor...|       on|             2|        0.3483066942682158| 0.6966133885364316|,Fail
92,|Girl from the North Country|       me|             4|        0.1941560144409574| 0.7766240577638296|,|Girl from the Nor...|       me|             4|        0.1941560144409574| 0.7766240577638296|,Fail
93,|Girl from the North Country|      and|             4|        0.1941560144409574| 0.7766240577638296|,|Girl from the Nor...|      and|             4|        0.1941560144409574| 0.7766240577638296|,Fail
94,|Girl from the North Country|       in|             3|       0.26826398659467937| 0.8047919597840381|,|Girl from the Nor...|       in|             3|       0.26826398659467937| 0.8047919597840381|,Fail
95,|Girl from the North Country|      all|             2|        0.4353180712578455|  0.870636142515691|,|Girl from the Nor...|      all|             2|        0.4353180712578455|  0.870636142515691|,Fail
96,|Girl from the North Country|     down|             1|        0.8873031950009027| 0.8873031950009027|,|Girl from the Nor...|     down|             1|        0.8873031950009027| 0.8873031950009027|,Fail
97,|Girl from the North Country|       at|             1|        0.8873031950009027| 0.8873031950009027|,|Girl from the Nor...|       at|             1|        0.8873031950009027| 0.8873031950009027|,Fail
98,|Girl from the North Country|     keep|             1|        1.0414538748281612| 1.0414538748281612|,|Girl from the Nor...|     keep|             1|        1.0414538748281612| 1.0414538748281612|,Fail
99,|Girl from the North Country|      way|             1|        1.0414538748281612| 1.0414538748281612|,|Girl from the Nor...|      way|             1|        1.0414538748281612| 1.0414538748281612|,Fail
100,|Girl from the North Country|        a|             3|        0.3483066942682158| 1.0449200828046474|,|Girl from the Nor...|        a|             3|        0.3483066942682158| 1.0449200828046474|,Fail
101,|Girl from the North Country|       so|             3|        0.3483066942682158| 1.0449200828046474|,|Girl from the Nor...|       so|             3|        0.3483066942682158| 1.0449200828046474|,Fail
102,|Girl from the North Country|     when|             2|        0.5306282510621704| 1.0612565021243408|,|Girl from the Nor...|     when|             2|        0.5306282510621704| 1.0612565021243408|,Fail
103,+--------------------+---------+--------------+--------------------------+-------------------+,+--------------------+---------+--------------+--------------------------+-------------------+,Pass
Summary,Pass cases: 40,Fail cases: 64,Pass percentage: 38.46%
